TITLE="(Vx,Vy)"
VARIABLES=X,Y,Hx,Hy,Hm
ZONE T="T-Dummy" I=83, J=30, F=POINT
1.963333 3.825904 6227.473145 5440.381836 8270.873047
1.963333 3.930723 6739.661133 4301.650391 7997.097656
1.963333 4.035542 7104.027344 4542.795898 8433.293945
1.963333 4.140361 7157.460938 5312.092773 8914.558594
1.963333 4.245181 7117.488281 4996.355957 8697.164062
1.963333 4.350000 7399.047852 4772.809570 8806.148438
1.963333 4.454819 7456.860352 4978.628906 8967.007812
1.963333 4.559639 7435.773926 5331.064453 9150.380859
1.963333 4.664458 7442.851562 5003.245117 8969.099609
1.963333 4.769277 7410.671875 4772.255859 8815.726562
1.963333 4.874096 7410.929688 4987.239258 8933.721680
1.963333 4.978916 7379.616211 5322.805664 9100.005859
1.963333 5.083735 7368.618164 4977.442871 8893.222656
1.963333 5.188554 7340.683105 4729.820312 8733.944336
1.963333 5.293373 7327.584961 5089.497559 8921.701172
1.963333 5.398193 3766.317383 5314.839844 6514.894531
1.963333 5.503012 777.587036 4943.478027 5004.605469
1.963333 5.607831 1774.590332 4684.649414 5010.386719
1.963333 5.712651 2802.709961 3996.552734 4881.360352
1.963333 5.817470 3812.616943 4565.525391 5949.917969
1.963333 5.922289 4737.394531 4367.764648 6445.266602
1.963333 6.027108 5600.359375 4578.561035 7235.164062
1.963333 6.131928 6371.131836 4255.825195 7661.963379
1.963333 6.236747 6980.243164 4852.907227 8502.743164
1.963333 6.341566 7198.842773 4636.315430 8564.126953
1.963333 6.446386 7221.878906 4464.614258 8491.822266
1.963333 6.551205 3793.268555 4122.315430 5602.041992
1.963333 6.656024 3552.471680 4757.199219 5939.283203
1.963333 6.760843 6817.702148 4552.643066 8200.500977
1.963333 6.865663 3466.449219 4361.729004 5572.984375
1.963333 6.970482 3572.717285 3838.849121 5245.057129
1.963333 7.075301 6879.493164 4874.963379 8432.396484
1.963333 7.180120 3358.989746 4788.406250 5850.503906
1.963333 7.284940 367.119568 5209.612793 5222.758789
1.963333 7.389759 1211.928467 5090.390625 5233.174316
