TITLE="(Vx,Vy)"
VARIABLES=X,Y,jx,jy,Jm,T
ZONE T="T-Dummy" I=83, J=41, F=POINT
8.437952 0.021951 -438.914734 -26.497503 439.714752 968.438851
8.542771 0.021951 -144.859070 -24.267830 146.879120 961.007832
8.647590 0.021951 0.000000 0.000000 0.000000 495.106017
0.052410 0.036585 0.000000 0.000000 0.000000 626.561211
0.157229 0.036585 168.984985 -91.190277 192.035187 1137.832616
0.262048 0.036585 498.862427 -93.819672 507.608124 1144.878210
0.366867 0.036585 816.517761 -105.898476 823.358032 1144.936693
0.471687 0.036585 1105.691284 -120.483856 1112.238159 1144.941043
0.576506 0.036585 1321.135986 -137.384644 1328.261719 1145.430894
0.681325 0.036585 1399.371216 -144.402100 1406.802002 1184.881874
0.786145 0.036585 1330.160156 -145.604736 1338.110596 1185.364835
0.890964 0.036585 1166.130127 -142.326447 1174.797363 1185.368477
0.995783 0.036585 954.309204 -139.030991 964.428406 1185.368499
1.100602 0.036585 753.627747 -144.329605 767.561523 1185.368499
1.205422 0.036585 597.411865 -145.611755 615.308838 1185.368498
1.310241 0.036585 483.178864 -146.913895 505.557068 1185.368498
1.415060 0.036585 403.763123 -146.461624 430.077026 1185.368498
1.519880 0.036585 341.365784 -143.710007 370.897278 1185.368498
1.624699 0.036585 276.888733 -138.988342 310.252869 1185.368498
1.729518 0.036585 201.061523 -134.697693 242.374985 1185.368498
1.834337 0.036585 134.193329 -137.614670 192.604370 1185.368498
1.939157 0.036585 93.724350 -138.172913 167.885651 1185.368498
2.043976 0.036585 74.560539 -137.950104 158.003036 1185.368498
2.148795 0.036585 73.067307 -137.910995 157.142990 1185.368498
2.253614 0.036585 84.615356 -139.680725 163.946106 1185.368498
2.358434 0.036585 88.291641 -135.108856 161.650391 1185.368498
2.463253 0.036585 65.716187 -130.201279 146.040283 1185.368498
2.568072 0.036585 27.873383 -128.410156 131.622009 1185.368498
2.672892 0.036585 -2.049707 -130.066681 130.154846 1185.368498
2.777711 0.036585 -4.213577 -135.078568 135.183533 1185.368498
2.882530 0.036585 13.929598 -134.336761 135.169266 1185.368498
2.987349 0.036585 29.450089 -131.053207 134.467651 1185.368498
3.092169 0.036585 31.282345 -127.359253 131.303589 1185.368498
3.196988 0.036585 19.482950 -126.598633 128.257660 1185.368498
3.301807 0.036585 0.913832 -125.590958 125.784416 1185.368498
3.406627 0.036585 -10.101303 -127.371002 127.973480 1185.368498
3.511446 0.036585 -1.662823 -129.415878 129.569031 1185.368498
3.616265 0.036585 20.559860 -129.888412 131.576324 1185.368497
3.721084 0.036585 41.812317 -128.321060 134.983902 1185.368498
3.825904 0.036585 47.172935 -125.101059 133.705139 1185.368498
3.930723 0.036585 30.206974 -121.931183 125.630951 1185.368498
4.035542 0.036585 2.082153 -121.671974 121.758484 1185.368498
4.140361 0.036585 -15.320047 -124.281952 125.316101 1185.368498
4.245181 0.036585 -11.006981 -126.895432 127.424530 1185.368497
4.350000 0.036585 8.482506 -127.822548 128.116913 1185.368497
4.454819 0.036585 28.115330 -126.651520 129.734650 1185.368497
4.559639 0.036585 32.823997 -123.788246 128.072235 1185.368498
4.664458 0.036585 15.962399 -120.912781 121.963593 1185.368498
4.769277 0.036585 -11.726704 -120.854736 121.431030 1185.368498
4.874096 0.036585 -28.786964 -123.627136 126.951859 1185.368497
4.978916 0.036585 -24.310539 -126.424820 128.744446 1185.368497
5.083735 0.036585 -4.721705 -127.543289 127.633240 1185.368497
5.188554 0.036585 15.017349 -126.561378 127.475281 1185.368497
5.293373 0.036585 19.799103 -123.866005 125.494865 1185.368497
5.398193 0.036585 2.825067 -121.130440 121.203362 1185.368498
5.503012 0.036585 -25.258650 -121.205246 123.813293 1185.368498
5.607831 0.036585 -42.993656 -124.096375 131.333954 1185.368497
5.712651 0.036585 -39.561134 -126.978577 133.012482 1185.368497
5.817470 0.036585 -21.563412 -128.166138 130.031738 1185.368497
5.922289 0.036585 -4.127150 -127.247787 127.473763 1185.368497
6.027108 0.036585 -2.561455 -124.601364 124.890144 1185.368497
6.131928 0.036585 -23.931215 -121.896667 124.472527 1185.368497
6.236747 0.036585 -57.795399 -122.017471 135.159698 1185.368497
6.341566 0.036585 -82.796982 -124.998672 150.084167 1185.368497
6.446386 0.036585 -88.396576 -127.986450 155.839081 1185.368497
6.551205 0.036585 -81.820168 -129.277039 153.605011 1185.368497
6.656024 0.036585 -79.068039 -128.461380 151.931183 1185.368497
6.760843 0.036585 -96.513023 -125.932983 160.028900 1185.368497
6.865663 0.036585 -142.448425 -123.361374 189.462524 1185.368497
6.970482 0.036585 -207.607727 -123.675926 242.296204 1185.368497
7.075301 0.036585 -271.761475 -126.932999 300.511230 1185.368497
7.180120 0.036585 -326.023926 -130.253510 351.721008 1185.368497
7.284940 0.036585 -379.755798 -132.032471 402.770172 1185.368497
7.389759 0.036585 -450.956238 -131.975784 470.554382 1185.368497
7.494578 0.036585 -557.324829 -130.559082 572.924438 1185.368497
