TITLE="(Vx,Vy)"
VARIABLES=X,Y,Hx,Hy,Hm
ZONE T="T-Dummy" I=83, J=30, F=POINT
2.216667 8.333133 -54.763969 171.688934 180.932220
2.216667 8.437952 -113.654976 133.867004 175.962311
2.216667 8.542771 -71.279022 115.967056 136.230957
2.216667 8.647590 0.000000 0.000000 0.000000
2.343333 0.052410 0.000000 0.000000 0.000000
2.343333 0.157229 60.607021 -4.119469 60.782288
2.343333 0.262048 79.282120 3.917543 79.381798
2.343333 0.366867 -2.594477 23.896347 29.123877
2.343333 0.471687 -39.268040 48.520550 64.287727
2.343333 0.576506 12.295101 67.225311 71.462769
2.343333 0.681325 151.213928 71.942467 167.617020
2.343333 0.786145 306.500336 59.697350 312.269623
2.343333 0.890964 361.027924 41.255478 363.381439
2.343333 0.995783 238.060547 26.698940 239.558502
2.343333 1.100602 9.653395 29.559830 31.098635
2.343333 1.205422 -127.315613 50.618198 137.015442
2.343333 1.310241 -99.574905 71.095963 122.354149
2.343333 1.415060 24.595024 80.738525 84.404785
2.343333 1.519880 158.420532 75.944939 175.690567
2.343333 1.624699 210.981262 59.412403 219.196655
2.343333 1.729518 101.150772 43.670013 110.201065
2.343333 1.834337 -104.649132 42.243629 112.867889
2.343333 1.939157 -213.315857 58.548267 221.213440
2.343333 2.043976 -158.710358 77.738342 176.732758
2.343333 2.148795 -15.667424 87.528275 88.920090
2.343333 2.253614 127.196823 83.585045 152.217987
2.343333 2.358434 187.207733 69.806702 199.819824
2.343333 2.463253 86.399025 58.007256 104.113708
2.343333 2.568072 -114.538162 62.146626 130.337814
2.343333 2.672892 -219.914383 82.527466 234.907608
2.343333 2.777711 -160.541641 105.923553 192.350220
2.343333 2.882530 -10.205580 121.458069 121.886124
2.343333 2.987349 142.017990 120.506577 186.273636
2.343333 3.092169 204.836060 108.327591 231.746109
2.343333 3.196988 101.410568 97.568741 140.768311
2.343333 3.301807 -99.962776 102.146744 142.964478
2.343333 3.406627 -204.047943 122.417618 237.988235
2.343333 3.511446 -142.116760 144.901550 202.984695
2.343333 3.616265 9.700031 156.374573 156.675171
2.343333 3.721084 161.697723 152.598495 222.351959
2.343333 3.825904 224.203491 137.822632 263.210114
2.343333 3.930723 120.550354 124.254608 173.159088
2.343333 4.035542 -80.730484 126.601791 150.210510
2.343333 4.140361 -184.154419 144.897308 234.380295
2.343333 4.245181 -121.585037 164.603760 204.672943
2.343333 4.350000 30.510864 173.689987 176.349731
2.343333 4.454819 182.906281 168.033859 248.389786
2.343333 4.559639 246.473511 151.686584 289.439178
2.343333 4.664458 145.106461 136.531525 199.268097
2.343333 4.769277 -52.676552 136.857971 146.721298
2.343333 4.874096 -152.450485 152.231720 215.525940
2.343333 4.978916 -87.381332 167.603012 189.063782
2.343333 5.083735 64.664719 171.453949 183.243286
2.343333 5.188554 215.949051 164.876892 271.710449
2.343333 5.293373 274.628784 151.726288 313.781403
2.343333 5.398193 173.604401 143.950821 225.545166
2.343333 5.503012 -22.824936 151.179413 152.959366
2.343333 5.607831 -132.731339 173.355530 218.435883
2.343333 5.712651 -81.126907 195.945618 212.125961
2.343333 5.817470 58.367119 207.280518 215.342133
2.343333 5.922289 198.605591 203.486755 284.357239
2.343333 6.027108 252.915970 188.845612 315.674622
2.343333 6.131928 147.654053 175.542511 229.410080
2.343333 6.236747 -50.885700 178.356171 185.539429
2.343333 6.341566 -154.193970 197.357880 250.543457
2.343333 6.446386 -97.103790 217.933044 238.632370
2.343333 6.551205 45.699291 228.104767 232.638306
2.343333 6.656024 187.866791 223.863342 292.262390
2.343333 6.760843 243.958603 209.451431 321.571777
2.343333 6.865663 142.110596 197.099365 243.009872
2.343333 6.970482 -52.559380 201.499146 208.303040
2.343333 7.075301 -162.277222 215.744110 270.052124
2.343333 7.180120 -123.061005 231.909973 262.583252
2.343333 7.284940 -3.428169 238.220459 238.248199
2.343333 7.389759 108.315689 230.470230 254.664948
2.343333 7.494578 127.551849 212.637543 247.991699
2.343333 7.599398 -10.774118 196.540222 196.836029
2.343333 7.704217 -238.157974 196.606674 308.917084
2.343333 7.809036 -361.117188 212.825500 419.249878
