TITLE="(Vx,Vy)"
VARIABLES=X,MPR1,MPR2,MPR3,MPR4,MPR5
ZONE T="T-Dummy" I=1, J=1
0.790000 0.570731 0.570731 0.570731
0.795000 0.570731 0.570731 0.570731
0.795000 0.570731 0.570731 0.570731
0.800000 0.570731 0.570731 0.570731
0.800000 0.570731 0.570731 0.570731
0.805000 0.570731 0.570731 0.570731
0.805000 0.570731 0.570731 0.570731
0.810000 0.570731 0.570731 0.570731
0.810000 0.570731 0.570731 0.570731
0.815000 0.570731 0.570731 0.570731
0.815000 0.570731 0.570731 0.570731
0.820000 0.570731 0.570731 0.570731
0.820000 0.570731 0.570731 0.570731
0.825000 0.570731 0.570731 0.570731
0.825000 0.570731 0.570731 0.570731
0.830000 0.570731 0.570731 0.570731
0.830000 0.570731 0.570731 0.570731
0.835000 0.570731 0.570731 0.570731
0.835000 0.570731 0.570731 0.570731
0.840000 0.570731 0.570731 0.570731
0.840000 0.570731 0.570731 0.570731
0.845000 0.570731 0.570731 0.570731
0.845000 0.570731 0.570731 0.570731
0.850000 0.570731 0.570731 0.570731
0.850000 0.570731 0.570731 0.570731
0.855000 0.570731 0.570731 0.570731
0.855000 0.570731 0.570731 0.570731
0.860000 0.570731 0.570731 0.570731
0.860000 0.570731 0.570731 0.570731
0.865000 0.570731 0.570731 0.570731
0.865000 0.570731 0.570731 0.570731
0.870000 0.570731 0.570731 0.570731
0.870000 0.570731 0.570731 0.570731
0.875000 0.570731 0.570731 0.570731
0.875000 0.570731 0.570731 0.570731
0.880000 0.570731 0.570731 0.570731
0.880000 0.570731 0.570731 0.570731
0.885000 0.570731 0.570731 0.570731
0.885000 0.570731 0.570731 0.570731
0.890000 0.570731 0.570731 0.570731
0.890000 0.570731 0.570731 0.570731
0.895000 0.570731 0.570731 0.570731
0.895000 0.570731 0.570731 0.570731
0.900000 0.570731 0.570731 0.570731
0.900000 0.570731 0.570731 0.570731
0.905000 0.570731 0.570731 0.570731
0.905000 0.570731 0.570731 0.570731
0.910000 0.570731 0.570731 0.570731
0.910000 0.570731 0.570731 0.570731
0.915000 0.570731 0.570731 0.570731
0.915000 0.570731 0.570731 0.570731
0.920000 0.570731 0.570731 0.570731
0.920000 0.570731 0.570731 0.570731
0.925000 0.570731 0.570731 0.570731
0.925000 0.570731 0.570731 0.570731
0.930000 0.570731 0.570731 0.570731
0.930000 0.570731 0.570731 0.570731
0.935000 0.570731 0.570731 0.570731
0.935000 0.570731 0.570731 0.570731
0.940000 0.570731 0.570731 0.570731
0.940000 0.570731 0.570731 0.570731
0.945000 0.570731 0.570731 0.570731
0.945000 0.570731 0.570731 0.570731
0.950000 0.570731 0.570731 0.570731
0.950000 0.570731 0.570731 0.570731
0.955000 0.570731 0.570731 0.570731
0.955000 0.570731 0.570731 0.570731
0.960000 0.570731 0.570731 0.570731
0.960000 0.570731 0.570731 0.570731
0.965000 0.570731 0.570731 0.570731
0.965000 0.570731 0.570731 0.570731
0.970000 0.570731 0.570731 0.570731
0.970000 0.570731 0.570731 0.570731
0.975000 0.570731 0.570731 0.570731
0.975000 0.570731 0.570731 0.570731
0.980000 0.570731 0.570731 0.570731
0.980000 0.570731 0.570731 0.570731
0.985000 0.570731 0.570731 0.570731
0.985000 0.570731 0.570731 0.570731
0.990000 0.570731 0.570731 0.570731
0.990000 0.570731 0.570731 0.570731
0.995000 0.570731 0.570731 0.570731
0.995000 0.570731 0.570731 0.570731
